,Unnamed: 0,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Time,season,Attendance
164,164,E0,23/11/94,Tottenham,Chelsea,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
165,165,E0,26/11/94,Arsenal,Man United,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
166,166,E0,26/11/94,Blackburn,QPR,4,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
167,167,E0,26/11/94,Chelsea,Everton,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
168,168,E0,26/11/94,Crystal Palace,Southampton,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
169,169,E0,26/11/94,Leeds,Nott'm Forest,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
170,170,E0,26/11/94,Liverpool,Tottenham,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
171,171,E0,26/11/94,Man City,Wimbledon,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
172,172,E0,26/11/94,Newcastle,Ipswich,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
173,173,E0,26/11/94,Norwich,Leicester,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
174,174,E0,26/11/94,West Ham,Coventry,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
175,175,E0,27/11/94,Aston Villa,Sheffield Weds,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
176,176,E0,03/12/94,Coventry,Liverpool,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
177,177,E0,03/12/94,Ipswich,Man City,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
178,178,E0,03/12/94,Leicester,Aston Villa,1,1,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
179,179,E0,03/12/94,Man United,Norwich,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
180,180,E0,03/12/94,Nott'm Forest,Arsenal,2,2,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
181,181,E0,03/12/94,Sheffield Weds,Crystal Palace,1,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
182,182,E0,03/12/94,Southampton,Chelsea,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
183,183,E0,03/12/94,Tottenham,Newcastle,4,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
184,184,E0,03/12/94,Wimbledon,Blackburn,0,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
185,185,E0,04/12/94,Everton,Leeds,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
186,186,E0,04/12/94,QPR,West Ham,2,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
187,187,E0,10/12/94,Aston Villa,Everton,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
188,188,E0,10/12/94,Blackburn,Southampton,3,2,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
189,189,E0,10/12/94,Leeds,West Ham,2,2,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
190,190,E0,10/12/94,Newcastle,Leicester,3,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
191,191,E0,10/12/94,Norwich,Chelsea,3,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
192,192,E0,10/12/94,Nott'm Forest,Ipswich,4,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
193,193,E0,10/12/94,QPR,Man United,2,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
194,194,E0,10/12/94,Tottenham,Sheffield Weds,3,1,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
195,195,E0,10/12/94,Wimbledon,Coventry,2,0,H,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
196,196,E0,11/12/94,Liverpool,Crystal Palace,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
197,197,E0,12/12/94,Man City,Arsenal,1,2,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
198,198,E0,16/12/94,Ipswich,Wimbledon,2,2,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
199,199,E0,17/12/94,Arsenal,Leeds,1,3,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
200,200,E0,17/12/94,Coventry,Newcastle,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
201,201,E0,17/12/94,Crystal Palace,Norwich,0,1,A,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
202,202,E0,17/12/94,Everton,Tottenham,0,0,D,,,,,,,,,,,,,,,,,,,,,,S_1994_1995,
